GPS_id,Latitude,Longitude
0,35.43591106654998,-119.0282215753832
1,37.3318803266,-122.0296311378
2,37.4440767085,-122.1630764008
3,37.8718042333,-122.2677469167
4,37.869831197,-122.2674129903
5,37.8779105833,-122.2692006826
6,37.8572445598,-122.253151685
7,37.4798304594,-122.1837615967
8,37.8702673709,-122.2725749016
9,37.8705167667,-122.2660517667
10,37.8729563477,-122.2519111633
11,37.8724157667,-122.2668242333
12,37.8737439664,-122.268717885
13,37.8749211443,-122.2688519955
14,37.8793311595,-122.26933747529999
15,37.8795957944,-122.26908668879999
16,37.8734009722,-122.2663521767
17,37.8802711382,-122.268294096
18,37.7792713741,-122.4192380905
19,37.759688872,-122.42717742919999
20,37.7643013,-122.42629765
21,37.87039875,-122.2677898333
22,37.4210591561,-122.2129515533
23,37.4448394667,-122.16142415
24,37.4491267236,-122.1747761965
25,37.4295830667,-122.1689343333
26,37.8349373864,-122.2922515869
27,38.4043999413,-122.36498236660002
28,37.7429942789,-122.41468906399999
29,34.0907049167,-118.3729004833
30,34.0907371,-118.37448834999998
31,34.0175879,-118.4870553
32,37.4269115833,-122.1443653
33,34.0181350667,-118.48963021669998
34,32.7642715944,-117.2266530991
35,37.4178905947,-122.0255327225
36,37.8720831833,-122.2578549333
37,37.8690435364,-122.2548079491
38,37.8462146627,-122.25205063820002
39,37.7830445667,-122.46513605
40,37.5304555833,-122.2634983
41,37.4479079167,-122.1597719167
42,37.3230993667,-122.0380210833
43,37.7709861237,-122.4689340591
44,37.769873014,-122.4668392539
45,36.1218608846,-115.1701068878
46,37.7675089253,-122.4679684639
47,37.723885886,-122.4792981148
48,36.1243047653,-115.1680898666
49,37.7831089333,-122.4628400667
50,37.4063265571,-121.98335230350001
51,33.8120650319,-117.9190063477
52,37.3311352667,-122.03177689999998
53,34.13436055,-118.361485
54,34.0686249667,-118.3435678333
55,34.1432225667,-118.39384316670001
56,34.13726805,-118.3595967167
57,37.5384700167,-122.3635768833
58,37.7770407353,-122.46351331329998
59,37.7829158167,-122.46251820000002
60,37.78285145,-122.4646854333
61,37.7830231167,-122.4604797333
62,37.2361743333,-121.9733262
63,34.0734129064,-118.2402169704
64,37.2232997333,-121.9835186
65,37.5039446333,-122.48586415
66,37.8279041024,-122.2502374649
67,37.7694511333,-122.5105619333
68,37.770406,-122.50933885
69,37.7783989833,-122.51425265000002
70,37.76041745,-122.5090599
71,37.6816999833,-122.4877524333
72,37.4534976333,-122.1831393167
73,37.7442383667,-122.42247818330002
74,37.4233925333,-122.1365118
75,37.4434447167,-122.1604156333
